episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,3,8320200,False,821,1981,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-22-21,1613676141,42.61013913154602,138122.26244974136,7368,DESKTOP-CQKFDC7,192.168.1.19,42.61013913154602,0,1,81799_00000,[],[],17237.292,243.658,25365.436,165.58,0.0,8320200,8320200,18.213114754098363,69.0327868852459,0.0,0.2,4.9999999999999996e-05,-0.06130135864676798,-0.03511027646634508,1.7052693117554608e-05,0.18652943,0.018005628166172433,0.2980926001773161,0.1
nan,nan,nan,nan,0,3,8324400,False,821,1982,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-23-09,1613676189,48.64271545410156,138170.90516519547,7368,DESKTOP-CQKFDC7,192.168.1.19,91.25285458564758,0,2,81799_00000,[],[],19870.313,211.371,25741.379,163.161,11.064,8324400,8324400,19.384057971014492,68.71449275362322,0.0,0.2,4.9999999999999996e-05,-0.04794182989965467,-0.023821580579833072,1.6046063365138252e-05,0.23335882,0.02123026086894028,0.2838234717355055,0.1
nan,nan,nan,nan,0,3,8328600,False,821,1983,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-24-02,1613676242,52.91701579093933,138223.8221809864,7368,DESKTOP-CQKFDC7,192.168.1.19,144.1698703765869,0,3,81799_00000,[],[],22348.188,187.935,25692.221,163.474,7.376,8328600,8328600,17.40533333333333,68.62400000000001,0.0,0.3000000000000001,4.9999999999999996e-05,-0.055217272602021694,-0.034416181309258234,4.475593204698298e-06,-0.11282296,0.014294475382056963,0.25093910251470175,0.1
nan,nan,nan,nan,0,3,8332800,False,821,1984,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-25-01,1613676301,58.56801462173462,138282.39019560814,7368,DESKTOP-CQKFDC7,192.168.1.19,202.73788499832153,0,4,81799_00000,[],[],25013.38,167.91,25652.789,163.725,9.438,8332800,8332800,16.200000000000003,68.41204819277107,0.0,0.3000000000000001,4.9999999999999996e-05,-0.05067972833400264,-0.029134938712505734,6.0546297899075876e-05,0.09565875,0.014288116835386437,0.25891773358863945,0.1
nan,nan,nan,nan,0,3,8337000,False,821,1985,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-26-05,1613676365,63.83223295211792,138346.22242856026,7368,DESKTOP-CQKFDC7,192.168.1.19,266.57011795043945,0,5,81799_00000,[],[],27666.553,151.808,25631.568,163.86,7.55,8337000,8337000,16.53956043956044,66.62087912087912,0.0,0.3000000000000001,4.9999999999999996e-05,-0.05902818990323473,-0.035281581215231735,1.531718965666454e-05,0.02863986,0.014269324937177932,0.2804272183600594,0.1
nan,nan,nan,nan,0,3,8341200,False,821,1986,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-27-14,1613676434,69.46533274650574,138415.68776130676,7368,DESKTOP-CQKFDC7,192.168.1.19,336.0354506969452,0,6,81799_00000,[],[],30380.629,138.246,25610.175,163.997,8.896,8341200,8341200,15.90408163265306,66.79285714285713,0.0,0.3000000000000001,4.9999999999999996e-05,-0.04843625549555702,-0.026735338437206605,1.2800830832555435e-05,0.042301055,0.012080927858786547,0.2533799515051,0.1
nan,nan,nan,nan,0,3,8345400,False,821,1987,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-28-30,1613676510,75.81385374069214,138491.50161504745,7368,DESKTOP-CQKFDC7,192.168.1.19,411.84930443763733,0,7,81799_00000,[],[],33215.659,126.446,25603.826,164.038,9.858,8345400,8345400,15.838317757009346,66.84485981308413,0.0,0.3000000000000001,4.9999999999999996e-05,-0.04365074955036535,-0.02065200703766416,5.632821707609657e-05,0.1302446,0.013352772111401838,0.2706090128597091,0.1
nan,nan,nan,nan,0,3,8349600,False,821,1988,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-29-51,1613676591,81.21283221244812,138572.7144472599,7368,DESKTOP-CQKFDC7,192.168.1.19,493.06213665008545,0,8,81799_00000,[],[],35991.239,116.695,25628.849,163.878,8.625,8349600,8349600,16.155263157894737,66.96842105263157,0.0,0.3000000000000001,4.9999999999999996e-05,-0.058360682526493776,-0.03652492058737313,7.74669827425147e-05,0.07309908,0.019464853466214502,0.2775268278577748,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,3,3,8353800,False,824,1989,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-31-01,1613676661,69.88190913200378,138642.5963563919,7368,DESKTOP-CQKFDC7,192.168.1.19,562.9440457820892,0,9,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",36921.03,113.756,25615.386,163.964,9.403,8353800,8353800,16.7949494949495,66.33636363636363,0.0,0.3000000000000001,4.9999999999999996e-05,-0.06199214695131078,-0.037508497288560164,2.5524717236347735e-05,0.08560685,0.017917043474667212,0.2988428749582347,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8358000,False,824,1990,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-31-46,1613676706,44.89437747001648,138687.49073386192,7368,DESKTOP-CQKFDC7,192.168.1.19,607.8384232521057,0,10,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",35127.246,119.565,25643.663,163.783,10.025,8358000,8358000,16.9296875,65.2828125,0.0,0.3000000000000001,4.9999999999999996e-05,-0.0592546853072503,-0.03223101466017611,2.067344517212512e-05,0.17689073,0.015343576587517472,0.31647417650503273,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8362200,False,824,1991,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-32-36,1613676756,49.62928104400635,138737.12001490593,7368,DESKTOP-CQKFDC7,192.168.1.19,657.4677042961121,0,11,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",35798.178,117.324,25673.751,163.591,11.589,8362200,8362200,16.269014084507045,65.29999999999998,0.0,0.3000000000000001,4.9999999999999996e-05,-0.05592572168611428,-0.03185147425050244,1.3828426504273119e-05,0.20821851,0.01649887435247793,0.29037737232797284,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8366400,False,824,1992,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-33-31,1613676811,55.08156085014343,138792.20157575607,7368,DESKTOP-CQKFDC7,192.168.1.19,712.5492651462555,0,12,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",36490.542,115.098,25626.441,163.893,10.938,8366400,8366400,16.050000000000004,65.22179487179488,0.0,0.3000000000000001,4.9999999999999996e-05,-0.03367130800752955,-0.012914663673762013,1.9348912425531287e-05,-0.48687991,0.00891791177170543,0.2345136608928442,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8370600,False,824,1993,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-34-33,1613676873,61.80862355232239,138854.0101993084,7368,DESKTOP-CQKFDC7,192.168.1.19,774.3578886985779,0,13,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",37374.965,112.375,25632.123,163.857,12.501,8370600,8370600,15.719540229885057,65.38850574712642,0.0,0.3000000000000001,4.9999999999999996e-05,-0.04407213557073299,-0.021742433501297936,4.5815401549856796e-05,0.101055354,0.01833407630157821,0.2787574569092077,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8374800,False,824,1994,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-35-40,1613676940,67.47712421417236,138921.48732352257,7368,DESKTOP-CQKFDC7,192.168.1.19,841.8350129127502,0,14,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",38256.434,109.785,25642.187,163.793,12.502,8374800,8374800,15.512499999999998,64.87083333333334,0.0,0.3000000000000001,4.9999999999999996e-05,-0.03475819747237598,-0.011547885616036022,6.348404012361939e-06,0.018272616,0.011993118643979816,0.26814596486442227,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8379000,False,824,1995,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-36-54,1613677014,73.62390208244324,138995.111225605,7368,DESKTOP-CQKFDC7,192.168.1.19,915.4589149951935,0,15,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",39213.428,107.106,25662.603,163.662,14.064,8379000,8379000,15.404807692307692,64.49807692307692,0.0,0.3000000000000001,4.9999999999999996e-05,-0.055923262884949934,-0.033738171955680143,2.8036906976868684e-05,0.051667906,0.014281029066563967,0.26497435131493735,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8383200,False,824,1996,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-38-14,1613677094,80.34490180015564,139075.45612740517,7368,DESKTOP-CQKFDC7,192.168.1.19,995.8038167953491,0,16,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",40307.769,104.198,25655.077,163.71,14.064,8383200,8383200,15.691150442477873,65.01858407079648,0.0,0.3000000000000001,4.9999999999999996e-05,-0.052980816758730835,-0.02977861655766473,8.108461256864864e-05,0.10903402,0.014180758173632272,0.2753751168356222,0.1
3.8701094574359702,3.7300998144132427,3.8156461113806515,12096.0,0,3,8387400,False,824,1997,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-39-41,1613677181,86.41042065620422,139161.86654806137,7368,DESKTOP-CQKFDC7,192.168.1.19,1082.2142374515533,0,17,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096]",41377.107,101.505,25647.265,163.76,12.502,8387400,8387400,15.29504132231405,65.23553719008264,0.0,0.3000000000000001,4.9999999999999996e-05,-0.05226182077518281,-0.027213001185480284,3.2088501002898044e-05,0.05181287,0.014922393239377177,0.29557625686421113,0.1
3.8701094574359702,3.516874557065909,3.7262632254414467,12096.0,3,3,8391600,False,827,1998,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-40-36,1613677236,55.41264200210571,139217.27919006348,7368,DESKTOP-CQKFDC7,192.168.1.19,1137.626879453659,0,18,81799_00000,"[3.6768784973972615, 3.716887964043556, 3.516874557065909, 3.846729062292741, 3.8701094574359702, 3.7300998144132427]","[12096, 12096, 12096, 12096, 12096, 12096]",38825.619,108.176,25615.625,163.962,14.065,8391600,8391600,16.282278481012657,65.33417721518984,0.0,0.3000000000000001,4.9999999999999996e-05,-0.058656164855860615,-0.03274886940112885,2.3696360612495267e-05,0.14667775,0.017203755265868762,0.31092117376187267,0.1
3.8701094574359702,3.516874557065909,3.7262632254414467,12096.0,0,3,8395800,False,827,1999,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-41-24,1613677284,47.13751792907715,139264.41670799255,7368,DESKTOP-CQKFDC7,192.168.1.19,1184.7643973827362,0,19,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427, 3.6768784973972615, 3.716887964043556, 3.516874557065909]","[12096, 12096, 12096, 12096, 12096, 12096]",36516.772,115.016,25649.949,163.743,14.065,8395800,8395800,17.323880597014927,65.73880597014924,0.0,0.3000000000000001,4.9999999999999996e-05,-0.05155765517231296,-0.02623585069223362,1.8153596623532768e-05,0.20533489,0.01817759660565678,0.30793236634310556,0.1
3.8701094574359702,3.516874557065909,3.7262632254414467,12096.0,0,3,8400000,True,827,2000,00820055b25a4430a5d4c69a0e8d6947,2021-02-18_20-42-16,1613677336,52.01320672035217,139316.4299147129,7368,DESKTOP-CQKFDC7,192.168.1.19,1236.7776041030884,0,20,81799_00000,"[3.846729062292741, 3.8701094574359702, 3.7300998144132427, 3.6768784973972615, 3.716887964043556, 3.516874557065909]","[12096, 12096, 12096, 12096, 12096, 12096]",37247.201,112.76,25631.452,163.861,14.065,8400000,8400000,16.422972972972975,65.7554054054054,0.0,0.3000000000000001,4.9999999999999996e-05,-0.06249151729485568,-0.03975050460875911,6.220168188519892e-06,0.03120079,0.016961357857593718,0.2783564355443506,0.1
